location	year	indigenous cases	total p. falciparum	total p. vivax	total mixed cases	total other cases	imported cases	total introduced cases
Gambia	2016	162739	153685	NA	NA	NA	NA	NA
Gambia	2017	78040	69931	NA	NA	NA	NA	NA
Gambia	2018	87448	87448	NA	NA	NA	NA	NA
Gambia	2019	53386	53386	NA	NA	NA	NA	NA
Gambia	2020	75801	75801	NA	NA	NA	NA	NA
Gambia	2021	77287	77287	NA	NA	NA	NA	NA
Mayotte	2010	237	138	3	NA	NA	236	NA
Mayotte	2011	50	38	2	NA	NA	51	NA
Mayotte	2012	29	21	2	4	NA	47	NA
Mayotte	2013	11	9	NA	NA	NA	71	NA
Mayotte	2014	1	1	NA	NA	NA	14	NA
Mayotte	2015	1	NA	NA	NA	NA	10	NA
Mayotte	2016	18	12	NA	NA	NA	10	5
Mayotte	2017	9	NA	NA	NA	NA	10	NA
Mayotte	2018	3	NA	NA	NA	NA	44	NA
Mayotte	2019	NA	NA	NA	NA	NA	NA	NA
Mayotte	2020	NA	NA	NA	NA	NA	NA	NA
Mayotte	2021	NA	NA	NA	NA	NA	NA	NA
Namibia	2010	556	556	NA	NA	NA	NA	NA
Namibia	2011	1525	335	NA	NA	NA	NA	NA
Namibia	2012	194	194	NA	NA	NA	NA	NA
Namibia	2013	4775	136	NA	NA	NA	NA	NA
Namibia	2014	15692	15692	NA	NA	NA	NA	NA
Namibia	2015	9162	9162	NA	NA	NA	2888	NA
Namibia	2016	19510	19510	NA	NA	NA	3980	NA
Namibia	2017	54268	54268	NA	NA	NA	11874	NA
Namibia	2018	30567	30567	NA	NA	NA	4021	NA
Namibia	2019	2376	2340	6	NA	NA	1064	NA
Namibia	2020	12331	12331	NA	NA	NA	1305	NA
Namibia	2021	12979	12979	NA	NA	NA	759	NA
Niger	2010	642774	601455	NA	17123	NA	NA	NA
Niger	2011	838585	757449	NA	21370	NA	NA	NA
Niger	2012	2329260	2185060	NA	22399	NA	NA	NA
Niger	2013	2373591	2306354	NA	46068	NA	NA	NA
Niger	2014	3963768	3828486	NA	78102	NA	NA	NA
Niger	2015	2392108	2267867	NA	NA	4133	NA	NA
Niger	2016	4258110	3961178	NA	NA	186989	NA	NA
Niger	2017	2761268	2638580	NA	NA	NA	NA	NA
Niger	2018	3046450	3046450	NA	NA	NA	NA	NA
Niger	2019	3771451	3748155	NA	NA	23296	NA	NA
Niger	2020	4377938	4154337	NA	NA	NA	NA	NA
Niger	2021	4044707	4044707	NA	NA	NA	NA	NA
Senegal	2010	330331	330331	NA	NA	NA	NA	NA
Senegal	2011	274119	274119	NA	NA	NA	NA	NA
Senegal	2012	294385	294385	NA	NA	NA	NA	NA
Senegal	2013	366687	366687	NA	NA	NA	NA	NA
Senegal	2014	265624	265624	NA	NA	NA	NA	NA
Senegal	2015	492253	492253	NA	NA	NA	0	NA
Senegal	2016	349540	349540	NA	NA	NA	0	NA
Senegal	2017	395706	395706	NA	NA	NA	0	NA
Senegal	2018	530652	530652	NA	NA	NA	292	NA
Senegal	2019	354663	354663	NA	NA	NA	45	NA
Senegal	2020	445313	445313	NA	NA	NA	0	NA
Senegal	2021	536850	536850	NA	NA	NA	0	NA
South Sudan	2010	900283	NA	NA	NA	NA	NA	NA
South Sudan	2011	112024	112024	NA	NA	NA	NA	NA
South Sudan	2012	225371	225371	NA	NA	NA	NA	NA
South Sudan	2013	262520	262520	NA	NA	NA	NA	NA
South Sudan	2014	71377	71377	NA	NA	NA	NA	NA
South Sudan	2015	24371	24371	NA	NA	NA	NA	NA
South Sudan	2016	7619	7619	NA	NA	NA	NA	NA
South Sudan	2017	1488005	1488005	NA	NA	NA	NA	NA
South Sudan	2018	98843	3242	NA	NA	NA	NA	NA
South Sudan	2019	1903742	1902505	NA	NA	NA	NA	NA
South Sudan	2020	661922	145954	2205	NA	3851	NA	NA
South Sudan	2021	2017227	1943519	43197	NA	30511	NA	NA
Togo	2010	1019029	1018801	NA	NA	228	NA	NA
Togo	2011	506764	506741	NA	NA	23	NA	NA
Togo	2012	909129	909120	NA	NA	9	NA	NA
Togo	2013	965832	965824	NA	NA	8	NA	NA
Togo	2014	1524339	1524322	NA	NA	17	NA	NA
Togo	2015	1610711	1610568	NA	NA	143	NA	NA
Togo	2016	1746334	1746101	NA	NA	233	NA	NA
Togo	2017	1756582	1756331	NA	NA	251	NA	NA
Togo	2018	2002877	2002712	NA	NA	165	NA	NA
Togo	2019	2406091	2402967	NA	NA	3124	NA	NA
Togo	2020	NA	NA	NA	NA	NA	NA	NA
Togo	2021	996364	995655	NA	NA	709	NA	NA
Belize	2010	150	NA	149	1	NA	NA	NA
Belize	2011	72	NA	72	NA	NA	7	NA
Belize	2012	33	NA	33	NA	NA	4	NA
Belize	2013	20	NA	20	NA	NA	4	NA
Belize	2014	19	NA	19	NA	NA	0	NA
Belize	2015	9	NA	9	NA	NA	4	NA
Belize	2016	4	NA	4	NA	NA	1	NA
Belize	2017	7	NA	5	2	NA	2	NA
Belize	2018	3	1	2	NA	NA	4	NA
Belize	2019	0	0	0	NA	NA	2	NA
Belize	2020	0	0	0	NA	NA	0	NA
Belize	2021	0	0	0	0	NA	0	NA
Bolivia (Plurinational State of)	2010	13769	1165	12569	35	NA	NA	NA
Bolivia (Plurinational State of)	2011	7143	370	6756	17	NA	NA	NA
Bolivia (Plurinational State of)	2012	7415	337	7067	11	NA	NA	NA
Bolivia (Plurinational State of)	2013	7342	959	6346	37	NA	NA	NA
Bolivia (Plurinational State of)	2014	7401	325	7060	16	NA	NA	NA
Bolivia (Plurinational State of)	2015	6874	77	6785	12	NA	33	NA
Bolivia (Plurinational State of)	2016	5542	4	5535	3	NA	11	NA
Bolivia (Plurinational State of)	2017	4572	NA	4572	NA	NA	15	NA
Bolivia (Plurinational State of)	2018	5342	NA	5342	NA	NA	12	NA
Bolivia (Plurinational State of)	2019	9338	31	9299	5	NA	19	NA
Bolivia (Plurinational State of)	2020	12180	66	12107	7	NA	7	NA
Bolivia (Plurinational State of)	2021	9959	165	9729	65	NA	0	NA
Dominican Republic	2010	2482	2480	2	NA	NA	NA	NA
Dominican Republic	2011	1616	1614	2	NA	NA	NA	NA
Dominican Republic	2012	952	950	2	NA	NA	NA	NA
Dominican Republic	2013	473	473	NA	NA	NA	106	NA
Dominican Republic	2014	459	459	NA	NA	NA	37	NA
Dominican Republic	2015	631	631	NA	NA	NA	30	NA
Dominican Republic	2016	690	690	NA	NA	NA	65	NA
Dominican Republic	2017	341	341	NA	NA	NA	57	NA
Dominican Republic	2018	433	433	NA	NA	NA	51	NA
Dominican Republic	2019	1291	1291	NA	NA	NA	23	NA
Dominican Republic	2020	826	826	NA	NA	NA	3	NA
Dominican Republic	2021	284	284	NA	NA	NA	7	NA
El Salvador	2010	17	NA	17	NA	NA	9	NA
El Salvador	2011	7	NA	7	NA	NA	8	NA
El Salvador	2012	13	NA	13	NA	NA	7	NA
El Salvador	2013	6	NA	6	NA	NA	1	NA
El Salvador	2014	6	NA	6	NA	NA	2	NA
El Salvador	2015	5	NA	5	NA	NA	4	NA
El Salvador	2016	12	NA	12	NA	NA	1	NA
El Salvador	2017	0	NA	0	NA	NA	3	NA
El Salvador	2018	0	NA	0	NA	NA	2	NA
El Salvador	2019	0	NA	0	NA	NA	3	NA
El Salvador	2020	0	NA	0	NA	NA	0	NA
El Salvador	2021	NA	NA	NA	NA	NA	NA	NA
French Guiana	2010	1632	987	476	561	5	NA	NA
French Guiana	2011	1209	584	339	496	5	NA	NA
French Guiana	2012	900	382	257	381	2	NA	NA
French Guiana	2013	875	304	220	348	0	NA	NA
French Guiana	2014	448	136	129	182	1	NA	NA
French Guiana	2015	374	61	194	119	NA	60	NA
French Guiana	2016	217	55	95	67	NA	41	NA
French Guiana	2017	554	62	368	124	NA	43	NA
French Guiana	2018	546	49	496	NA	1	NA	NA
French Guiana	2019	212	17	193	0	2	36	NA
French Guiana	2020	140	3	137	0	0	14	NA
French Guiana	2021	74	1	72	0	1	37	NA
Haiti	2010	84153	84153	0	0	0	NA	NA
Haiti	2011	34350	32969	0	0	0	NA	NA
Haiti	2012	27866	25423	0	0	0	NA	NA
Haiti	2013	26543	20957	0	0	0	NA	NA
Haiti	2014	17696	17696	0	0	0	NA	NA
Haiti	2015	17583	17583	0	0	0	NA	NA
Haiti	2016	21430	21430	0	0	0	NA	NA
Haiti	2017	19135	19135	0	0	0	NA	NA
Haiti	2018	8828	8828	0	0	0	NA	NA
Haiti	2019	10687	10687	0	0	0	NA	NA
Haiti	2020	22996	22996	0	0	0	NA	NA
Haiti	2021	9513	9513	0	0	0	NA	NA
Peru	2010	31545	2291	29168	83	3	NA	NA
Peru	2011	25005	2929	21984	89	3	NA	NA
Peru	2012	31436	3399	28030	102	7	NA	NA
Peru	2013	48719	7890	40829	213	11	NA	NA
Peru	2014	65252	10416	54819	NA	17	NA	NA
Peru	2015	61865	12569	49287	NA	9	NA	NA
Peru	2016	56623	15319	41287	NA	17	48	NA
Peru	2017	55367	13173	42044	NA	2	57	NA
Peru	2018	45443	9438	36005	NA	NA	176	NA
Peru	2019	24324	4724	19600	NA	NA	159	NA
Peru	2020	15822	3198	12624	NA	NA	25	NA
Peru	2021	18075	3584	14490	0	1	65	NA
Malaysia	2010	5194	1344	3387	145	0	831	107
Malaysia	2011	3954	973	1750	120	0	1142	124
Malaysia	2012	3662	894	915	48	0	924	35
Malaysia	2013	1028	422	385	42	0	865	26
Malaysia	2014	596	177	241	33	0	766	8
Malaysia	2015	242	110	84	22	26	435	NA
Malaysia	2016	266	67	178	9	12	428	16
Malaysia	2017	85	18	59	1	7	423	0
Malaysia	2018	0	0	0	0	0	485	21
Malaysia	2019	0	0	0	0	0	630	96
Malaysia	2020	0	0	0	0	0	177	54
Malaysia	2021	0	0	0	0	0	111	2
Papua New Guinea	2010	93956	56735	13171	4089	1990	NA	NA
Papua New Guinea	2011	84060	59153	9654	1164	632	NA	NA
Papua New Guinea	2012	150195	58747	7108	NA	0	NA	NA
Papua New Guinea	2013	316125	119469	7579	1279	0	NA	NA
Papua New Guinea	2014	314036	120641	78846	79574	2125	NA	NA
Papua New Guinea	2015	346431	118452	62228	115157	1950	NA	NA
Papua New Guinea	2016	534819	183686	95328	197711	1772	NA	NA
Papua New Guinea	2017	488878	163160	113561	200186	1433	NA	NA
Papua New Guinea	2018	516249	174818	138006	201658	1767	NA	NA
Papua New Guinea	2019	646648	181463	163237	299869	2079	NA	NA
Papua New Guinea	2020	750254	189397	186981	372257	1619	NA	NA
Papua New Guinea	2021	651963	181927	172964	296710	362	NA	NA
Solomon Islands	2010	39704	22892	12281	200	0	NA	NA
Solomon Islands	2011	26657	14454	8665	83	0	NA	NA
Solomon Islands	2012	24383	14748	9339	232	0	NA	NA
Solomon Islands	2013	25609	13194	11628	446	0	NA	NA
Solomon Islands	2014	18404	9835	7845	724	0	NA	NA
Solomon Islands	2015	23998	10478	12150	1370	0	NA	NA
Solomon Islands	2016	54432	16607	33060	4719	46	NA	NA
Solomon Islands	2017	52519	15400	30169	6917	33	NA	NA
Solomon Islands	2018	59191	15771	35072	8341	7	NA	NA
Solomon Islands	2019	72767	15595	47164	9979	27	NA	NA
Solomon Islands	2020	77637	14753	52039	10813	32	NA	NA
Solomon Islands	2021	84139	22057	57095	4943	44	NA	NA
Vanuatu	2010	9817	1545	2265	193	10	NA	NA
Vanuatu	2011	6179	770	1224	81	2	NA	NA
Vanuatu	2012	4532	1257	1680	470	0	NA	NA
Vanuatu	2013	2883	1039	1342	0	0	NA	NA
Vanuatu	2014	1314	279	703	0	0	NA	NA
Vanuatu	2015	571	150	273	0	0	NA	NA
Vanuatu	2016	2243	186	1682	0	0	0	9
Vanuatu	2017	1227	273	798	0	0	1	0
Vanuatu	2018	632	42	590	0	0	12	0
Vanuatu	2019	567	36	531	0	0	9	0
Vanuatu	2020	493	38	469	0	0	14	0
Vanuatu	2021	312	0	312	0	0	10	0
Iran (Islamic Republic of)	2010	1847	166	1656	25	NA	1184	NA
Iran (Islamic Republic of)	2011	1632	152	1502	56	NA	1529	78
Iran (Islamic Republic of)	2012	756	44	711	32	NA	842	12
Iran (Islamic Republic of)	2013	480	72	426	22	NA	853	26
Iran (Islamic Republic of)	2014	358	21	351	4	NA	867	7
Iran (Islamic Republic of)	2015	167	8	157	1	NA	632	24
Iran (Islamic Republic of)	2016	81	0	79	2	NA	611	8
Iran (Islamic Republic of)	2017	57	2	55	NA	NA	868	13
Iran (Islamic Republic of)	2018	0	0	0	0	NA	602	20
Iran (Islamic Republic of)	2019	0	0	0	0	NA	1107	85
Iran (Islamic Republic of)	2020	0	0	0	0	NA	878	171
Iran (Islamic Republic of)	2021	0	0	0	0	NA	821	178
Pakistan	2010	240591	73857	143136	NA	NA	NA	NA
Pakistan	2011	334589	73925	205879	NA	NA	NA	NA
Pakistan	2012	290781	95095	228215	2901	NA	NA	NA
Pakistan	2013	274648	46974	215655	12019	NA	NA	NA
Pakistan	2014	264867	33340	221816	9711	NA	NA	NA
Pakistan	2015	203859	28311	167460	8088	NA	NA	NA
Pakistan	2016	329005	43821	260477	24707	NA	NA	NA
Pakistan	2017	369817	54407	300623	14787	NA	NA	NA
Pakistan	2018	374510	55639	314572	4299	NA	NA	NA
Pakistan	2019	413533	87169	323355	3009	NA	NA	NA
Pakistan	2020	371828	74899	293077	3852	NA	NA	NA
Pakistan	2021	399097	94543	301169	3385	NA	NA	NA
Saudi Arabia	2010	29	29	NA	NA	NA	1912	0
Saudi Arabia	2011	69	69	NA	NA	NA	2719	0
Saudi Arabia	2012	82	82	NA	NA	NA	3324	0
Saudi Arabia	2013	34	34	NA	NA	NA	2479	0
Saudi Arabia	2014	30	30	NA	NA	NA	2254	21
Saudi Arabia	2015	83	83	NA	NA	NA	2537	0
Saudi Arabia	2016	272	270	2	NA	NA	5110	0
Saudi Arabia	2017	177	172	5	NA	NA	2974	0
Saudi Arabia	2018	61	57	4	NA	NA	2517	133
Saudi Arabia	2019	38	38	NA	NA	NA	2029	85
Saudi Arabia	2020	83	83	NA	NA	NA	3453	122
Saudi Arabia	2021	0	0	0	NA	NA	2470	146
Sudan	2010	720557	NA	NA	NA	NA	NA	NA
Sudan	2011	506806	NA	NA	NA	NA	NA	NA
Sudan	2012	526931	NA	NA	NA	NA	NA	NA
Sudan	2013	592383	NA	NA	NA	NA	NA	NA
Sudan	2014	1068506	NA	NA	NA	NA	NA	NA
Sudan	2015	586827	NA	NA	NA	NA	NA	NA
Sudan	2016	566015	333009	82175	32557	NA	NA	NA
Sudan	2017	800116	580145	58335	82399	NA	NA	NA
Sudan	2018	1648683	1286915	143314	187270	NA	NA	NA
Sudan	2019	1752011	1363507	194904	193600	NA	NA	NA
Sudan	2020	1698394	1272738	170202	143066	NA	NA	NA
Sudan	2021	1647745	1182363	175590	160222	NA	NA	NA
Kyrgyzstan	2010	3	NA	3	0	0	3	NA
Kyrgyzstan	2011	0	0	0	0	0	5	NA
Kyrgyzstan	2012	0	0	0	0	0	3	NA
Kyrgyzstan	2013	0	0	0	0	0	4	NA
Kyrgyzstan	2014	0	0	0	0	0	0	NA
Kyrgyzstan	2015	0	0	0	0	0	1	NA
Kyrgyzstan	2016	0	0	0	0	0	6	NA
Kyrgyzstan	2017	0	0	0	0	0	2	NA
Kyrgyzstan	2018	0	0	0	0	0	0	NA
Kyrgyzstan	2019	0	0	0	0	0	1	NA
Kyrgyzstan	2020	0	0	0	0	0	0	NA
Kyrgyzstan	2021	NA	NA	NA	NA	NA	NA	NA
Tajikistan	2010	112	1	111	NA	NA	4	0
Tajikistan	2011	78	5	73	NA	NA	22	0
Tajikistan	2012	28	NA	NA	NA	NA	11	15
Tajikistan	2013	4	NA	NA	NA	NA	10	11
Tajikistan	2014	2	NA	NA	NA	NA	5	0
Tajikistan	2015	0	0	0	0	0	4	0
Tajikistan	2016	0	0	0	0	0	1	0
Tajikistan	2017	0	0	0	0	0	3	0
Tajikistan	2018	0	0	0	0	0	NA	NA
Tajikistan	2019	0	0	0	0	0	3	NA
Tajikistan	2020	0	0	0	0	0	NA	NA
Tajikistan	2021	NA	NA	NA	NA	NA	NA	NA
Bhutan	2010	436	140	261	35	NA	NA	NA
Bhutan	2011	194	87	92	15	NA	NA	NA
Bhutan	2012	82	33	47	NA	NA	0	0
Bhutan	2013	15	6	9	NA	NA	23	NA
Bhutan	2014	19	11	8	NA	NA	34	0
Bhutan	2015	34	13	21	0	NA	70	0
Bhutan	2016	15	1	13	1	NA	56	3
Bhutan	2017	11	0	11	0	NA	38	13
Bhutan	2018	6	1	5	0	NA	34	14
Bhutan	2019	2	0	2	0	NA	30	10
Bhutan	2020	22	0	22	0	NA	9	23
Bhutan	2021	9	1	7	1	NA	13	0
Thailand	2010	32480	9401	13401	147	20	NA	NA
Thailand	2011	24897	5710	8608	147	13	NA	NA
Thailand	2012	46895	11553	17506	NA	NA	NA	NA
Thailand	2013	41602	14449	15573	196	3084	NA	NA
Thailand	2014	41218	13743	20513	588	3077	NA	NA
Thailand	2015	14265	3301	4655	122	12	9890	NA
Thailand	2016	12076	1774	5765	109	1244	5724	NA
Thailand	2017	7416	846	4802	36	10	4020	NA
Thailand	2018	5110	447	3575	34	21	1618	NA
Thailand	2019	4065	391	2752	25	30	1342	NA
Thailand	2020	3123	155	2892	16	58	798	NA
Thailand	2021	2426	53	2313	9	42	800	NA
